review_id,question,split,category,gt_answer,gold_chunk_ids,source_id,source_title,section_title,gold_content_excerpt,review_status,review_note
candidate-011,硬壳洗完怎么烘干才能重新激活防泼水？,dev,hardshell_drying,先正面朝外晾干；完全干后，在不超过 55°C/125°F 的条件下滚筒烘约 20 分钟以激活 DWR。,mammut-hardshell-001/step-4-how-to-dry-hardshells/004,mammut-hardshell-001,Hardshell jackets,Step 4 - How to dry hardshells,"#### Step 4 - How to dry hardshells Turn your hardshell right side out and hang to dry. Once it is completely dry, run it in the tumble dryer for 20 minutes  with the temperature not exceeding 55°C or 125°F to reactivate its durable water repellent (DWR) treatment. If time is of the essence, you can tumble dry only. This generally takes about 40 minutes. If unable to tumble dry, iron the dry garment on the gentle setting (warm with maximum ironing temperature 110° C or 230°F, no steam) by placin",approved,
candidate-012,我把硬壳烘过了还是不挂水珠，该怎么办？,dev,dwr,如果烘干激活 DWR 后仍不成珠，可使用环保浸渍喷雾，并按瓶身说明在户外重点处理肩部等高磨损区域。,mammut-hardshell-001/step-5-waterproofing/005,mammut-hardshell-001,Hardshell jackets,Step 5 - Waterproofing,"#### Step 5 - Waterproofing If water is no longer beading off your hardshell, even after re-activating the durable water repellent (DWR) in the dryer, then it's time for a refresh. We recommend using an eco-friendly impregnation spray, commonly found at your local outdoor retailer. Apply the spray outdoors, following the instructions on the bottle, with special focus on high-wear areas like your jacket's shoulders and upper back.",approved,
candidate-013,羽绒服用什么洗涤剂，哪些东西要避开？,dev,down_washing,建议用环保羽绒专用洗涤剂；避免洗衣粉、漂白剂和柔顺剂。,mammut-down-001/step-2-detergent/002,mammut-down-001,Down jackets,Step 2 - Detergent,"#### Step 2 - Detergent The right detergent makes a big difference. We recommend using an eco-friendly down detergent. CAUTION: Avoid powder detergents, bleach, and fabric softener. Running an empty hot wash in advance will ensure your machine is clear of any excess products.",approved,
candidate-014,羽绒服洗完能放暖气片或太阳下晒吗？,dev,down_drying,不建议。可翻面平铺，用干净毛巾轻压和滚动吸走水分；不要放在暖气片上或阳光下晾晒。,mammut-down-001/step-4-dry-with-a-towel/004,mammut-down-001,Down jackets,Step 4 - Dry with a towel,"#### Step 4 - Dry with a towel To properly dry your jacket, turn it inside out and lay it on a flat surface where you can remove excess moisture by gently pressing on it with a clean towel and using a “rolling” motion. Do the same for the outside and then unzip pockets to dry inside with the towel. Do not leave down jackets to dry on radiators or in the sun.",approved,
candidate-015,Why do dryer balls help when drying a down jacket?,dev,down_drying,"Mammut recommends low tumble drying with three dryer balls or clean tennis balls to prevent down from clumping, and the jacket should be fully dry before removal.",mammut-down-001/step-5-tumble-dry/005,mammut-down-001,Down jackets,Step 5 - Tumble dry,"#### Step 5 - Tumble dry Tumble dry low, adding three dryer balls (or clean tennis balls) into the machine to prevent the down from clumping. If you are in a rush, you can accelerate drying by turning the jacket arms inside out every 20-30 minutes. Make sure the jacket is fully dry before removing it from the dryer. Tip: tumble drying has the added benefit of reactivating your jacket's durable water repellent (DWR) treatment. Test it by sprinkling a couple drops of water over the surface. If the",approved,
candidate-016,Mammut 羽绒服是不是越勤洗越好？,dev,down_washing,不是。Mammut 的建议是尽量不要每年完整清洗羽绒服超过一次。,mammut-down-001/tips/007,mammut-down-001,Down jackets,Tips,#### Tips Try not to wash your down jacket any more than once a year!,approved,
candidate-017,Softshell 要用什么程序洗？,test,softshell,Mammut 建议 softshell 在最高 30°C/85°F 的冷水中使用正常洗涤程序。,mammut-softshell-001/step-3-how-to-wash-softshells/003,mammut-softshell-001,"Softshell Jackets, Pants & Shorts",Step 3 - How to wash softshells,#### Step 3 - How to wash softshells Machine wash cold (max 30°C/85°F) with normal cycle,approved,
candidate-018,软壳衣能不能烘干？防泼水怎么恢复？,dev,softshell,不要滚筒烘干，应避开直射阳光晾干；要激活 DWR，可隔着布以最高 110°C 熨烫。,mammut-softshell-001/step-4-how-to-dry-softshells/004,mammut-softshell-001,"Softshell Jackets, Pants & Shorts",Step 4 - How to dry softshells,"#### Step 4 - How to dry softshells Hang dry, away from direct sunlight. Do not tumble dry. To reactivate the durable water repellent (DWR), place a cloth over your garment and iron it using a maximum temperature of 110°C.",approved,
candidate-019,户外软壳脏了一点，必须整件洗吗？,test,softshell,不一定。Mammut 建议尽可能局部清洁，只有真正需要时再进行完整洗涤。,mammut-softshell-001/tips/006,mammut-softshell-001,"Softshell Jackets, Pants & Shorts",Tips,"#### Tips Less is more when it comes to washing your outdoor gear. Spot clean when possible, and reserve full washes for when they are really needed.",approved,
candidate-020,Fleece 衣服怎么洗，哪些护理方式不能用？,dev,fleece,30°C/85°F 冷水、温和洗涤剂和常规程序；避免漂白、去渍剂、柔顺剂和干洗。,mammut-fleece-001/step-2-how-to-wash-fleece-and-functional-clothing/002,mammut-fleece-001,Fleece Garments and Functional Clothing,Step 2 - How to wash fleece and functional clothing,"#### Step 2 - How to wash fleece and functional clothing Machine wash cold (30°C/85°F) with a mild detergent and regular wash cycle. CAUTION: Avoid bleach, stain removers, fabric softeners, and dry cleaning.",approved,
candidate-021,抓绒可以滚筒烘、熨烫或蒸汽处理吗？,test,fleece,不可以。Mammut 建议挂晾，并避免滚筒烘、熨烫、蒸汽和干洗。,mammut-fleece-001/step-3-how-to-dry-fleece-and-functional-clothing/003,mammut-fleece-001,Fleece Garments and Functional Clothing,Step 3 - How to dry fleece and functional clothing,"#### Step 3 - How to dry fleece and functional clothing Hang to dry. With such quick-drying gear, it won't take long. CAUTION: Do not tumble dry, iron, steam, or dry clean.",approved,
candidate-022,夏天收纳抓绒，塑料袋可以吗？,test,storage,Mammut 建议在夏季将抓绒收纳在棉质袋中，而不是塑料袋中。,mammut-fleece-001/tips/004,mammut-fleece-001,Fleece Garments and Functional Clothing,Tips,#### Tips Avoid over-washing: Try spot cleaning rather than a full wash when possible. Store fleece in a cotton (rather than plastic) bag over the summer.,approved,
candidate-023,Arc'teryx 的 DWR 应该在什么时候喷？,dev,dwr,DWR 只应施加在干净衣物上；Arc'teryx 建议每次洗后或衣物不再挂水时重新施加。,arcteryx-goretex-dwr-001/recare-protect/000,arcteryx-goretex-dwr-001,How To Wash Arc’teryx Product Care | Arc'teryx,ReCare - PROTECT,# ReCare - PROTECT DWR coating is what makes water bead and roll off your garment. Our garments are coated at the factory however you will need to reapply DWR over the life of your garment to maintain performance. Apply after each wash or if your garment is no longer beading water. - Only apply DWR treatment to a clean garment. - Lay the GORE-TEX garment on a flat surface. - Shake bottle well and spray evenly. - Rub DWR into the outside of your jacket with a clean sponge or cloth to keep the tre,approved,
candidate-024,How can I keep down insulation lofted after washing?,dev,down_drying,Dry the garment completely and thoroughly with two clean tennis balls or dryer balls to help redistribute the down and prevent clumping.,arcteryx-down-001/recare-wash-dry/001,arcteryx-down-001,How To Wash Arc’teryx Product Care | Arc'teryx,ReCare - WASH + DRY,"- Put your garment in the machine and add cleaning agent as indicated on bottle. - Wash on medium heat (40°C/104°F) at permanent press or gentle cycle setting. - Use a second rinse cycle to remove any residual soap. - Turn garment inside out. - Place in dryer alongside two clean tennis balls or “dryer balls” to help prevent clumping and redistribute down. - Dry completely and thoroughly, to avoid clumping or mold. - This may take upwards of 2 hours of drying time. - Lay garment on a flat surface",approved,
candidate-025,合成保温棉洗完怎么烘才不会伤材料？,test,synthetic_insulation,低温滚筒烘有助于恢复蓬松度；不要过热，因为部分合成面料和材料可能受损。,arcteryx-synthetic-001/recare-wash-dry/001,arcteryx-synthetic-001,How To Wash Arc’teryx Product Care | Arc'teryx,ReCare - WASH + DRY,"- Tumble dry your garment on a low heat setting to help restore the loft. - Do not overheat as there is risk of damage to some synthetic fabrics and materials. We recommend: Nu Down Detergent You may also use a liquid free-rinsing soap or gentle detergent. Avoid detergents that contain fabric softeners, fragrance, whiteners or colorants. Run an extra rinse cycle on your washing machine to ensure any potential residue is fully removed from your garment.",approved,
candidate-026,背包能直接扔进洗衣机吗？,test,other_gear,不能。Arc'teryx 建议只做表面清洗，用水或温和洗涤剂配软刷或海绵刷洗、充分冲净、避热风干。,arcteryx-other-001/recare-wash-dry/002,arcteryx-other-001,How To Wash Arc’teryx Product Care | Arc'teryx,ReCare - WASH + DRY,"- Shake out the backpack to remove dirt. - Surface wash only. - Do not wash in the washing machine. - Do not use bleach. - Using only water, or with a mild detergent, scrub the pack with a soft brush or sponge. - Rinse the pack thoroughly to remove any detergent residue. - Do not use a dryer or any other direct source of heat. - Leave to air-dry. - If you air-dry outside, choose a spot in the shade. - Apply DWR to re-protect your pack if the water no longer beads off the fabric.",approved,
candidate-027,衣服沾到顽固污渍，Arc'teryx 的局部清洁建议是什么？,dev,stain_removal,先弄湿污渍，再用稀释的技术洗涤剂局部清洁；该指南建议 1 份 Nu Technical Detergent 配 3 份水。,arcteryx-stain-001/recare-stain-removal/000,arcteryx-stain-001,How To Wash Arc’teryx Product Care | Arc'teryx,ReCare - STAIN REMOVAL,"# ReCare - STAIN REMOVAL Stains and stubborn or sticky spots to your garment can arise in the course of life's spills and thrills. These care instructions will help you target stains with spot cleaning tips and get at gum and sap spots with a surprising trick with ice-cubes and butter knives. - Dampen stain. - Spot clean stain using diluted technical detergent. - We recommend 1 part Nu Technical Detergent diluted with 3 parts water. - (Alternatively, a dilution of dishwashing detergent can also ",approved,
candidate-028,为什么防水外套穿几次山里就感觉表层湿透了？,dev,dwr,随着 DWR 磨损，面布会出现 wetting-out；定期清洗和护理防水装备有助于维持表现。,rab-waterproof-001/how-to-wash-your-waterproof-jacket-and-pants/000,rab-waterproof-001,How to Wash Your Waterproof Jacket and Pants | Rab® US,How to wash your waterproof jacket and pants.,"# How to Wash Your Waterproof Jacket and Pants ## How to wash your waterproof jacket and pants. Regularly washing and caring for your waterproof gear is essential for maintaining its performance. After a few trips into the mountains, you may notice that your waterproof gear is not as effective as when you first bought it. Over time, the DWR (durable water repellent) coating will wear off, causing the face fabric to ‘wet out’ or appear wet. This means that instead of beading and rolling off, wate",approved,
candidate-029,Rab 建议多久清洗和重新防泼水一次防水壳？,test,hardshell_washing,建议每次出行后清洗，也应在外观变脏或 DWR 开始失效时清洗和重新防泼水。,rab-waterproof-001/why-do-you-need-to-wash-your-waterproof-gear/001,rab-waterproof-001,How to Wash Your Waterproof Jacket and Pants | Rab® US,Why do you need to wash your waterproof gear?,"### Why do you need to wash your waterproof gear? As we make the move to fluorocarbon-free DWRs, it’s more important than ever that we regularly wash and reproof our waterproof jackets and pants to revitalise the DWR and prolong the life of our gear.  Wash your shells after each trip, as well as whenever they become visibly dirty or you notice the DWR starting to become ineffective. Our Service Centre team have created this simple guide to show you how to wash your waterproof gear at home. Prefe",approved,
candidate-030,野外没有洗衣机时，防水夹克怎么手洗？,dev,hardshell_washing,用凉水和温和洗涤剂手洗、充分冲净，并在避开直射阳光处留足时间干燥。,rab-waterproof-001/step-by-step-guide-to-washing-your-waterproof-jacket-and-pants/004,rab-waterproof-001,How to Wash Your Waterproof Jacket and Pants | Rab® US,Step by step guide to washing your waterproof jacket and pants.,"- If you are in the field and don’t have access to a washing machine, you can also hand wash your jacket. Keep the water cool, use a gentle detergent, rinse the jacket well, and give it plenty of time to dry, out of direct sunlight. If you are in the field and don’t have access to a washing machine, you can also hand wash your jacket. Keep the water cool, use a gentle detergent, rinse the jacket well, and give it plenty of time to dry, out of direct sunlight.",approved,
candidate-031,How should I machine-wash Rab waterproof pants?,test,hardshell_washing,"Check the care label, but most Rab waterproof jackets or pants can be machine washed around 30°C on a gentle cool setting, then low-spin and line dry.",rab-waterproof-001/step-by-step-guide-to-washing-your-waterproof-jacket-and-pants/003,rab-waterproof-001,How to Wash Your Waterproof Jacket and Pants | Rab® US,Step by step guide to washing your waterproof jacket and pants.,"- Machine wash on a gentle, cool setting. Check the white care label, but most waterproof jackets or pants should be washed at around 30ºC. Machine wash on a gentle, cool setting. Check the white care label, but most waterproof jackets or pants should be washed at around 30ºC. - After spinning at a low speed (400) hang the garment on a line to dry naturally. After spinning at a low speed (400) hang the garment on a line to dry naturally. - If the care label allows, tumble dry your garment for 20",approved,
candidate-032,Rab 羽绒服应该用普通皂还是专用羽绒洗剂？,test,down_washing,可以使用普通非生物皂，但 Rab 为额外效果建议使用技术型羽绒专用洗涤剂；随后使用凉水、长而轻柔的程序。,rab-down-001/our-step-by-step-process-for-cleaning-your-down-jacket-or-vest/002,rab-down-001,How to Wash Your Down Jacket | Rab® US,Our step-by-step process for cleaning your down jacket or vest.,"Add the detergent to the drawer. You can use a standard non-biological soap, but for extra benefits, we recommend using a technical down-specific detergent. - Wash your down jacket on a cool setting and a long, gentle cycle. This will ensure the outer and especially the down gets a thorough clean. Wash your down jacket on a cool setting and a long, gentle cycle. This will ensure the outer and especially the down gets a thorough clean. - Rinse your down jacket thoroughly to remove any leftover de",approved,
candidate-033,羽绒服洗后结团，是不是洗坏了？,dev,down_drying,通常表示没有正确干透。可重新清洗；在滚筒烘前轻柔捏开隔仓内结团的羽绒，使其更均匀分布。,rab-down-001/why-is-my-down-jacket-clumping-after-washing/006,rab-down-001,How to Wash Your Down Jacket | Rab® US,Why is my down jacket clumping after washing?,"### How to wash a down jacket FAQs. #### Why is my down jacket clumping after washing? If your down jacket has lost its loft or the down feels like it’s clumped together, this usually means it hasn’t dried properly. Try washing it again, and before tumble drying you can very softly pinch the baffles and manipulate the clumped down to fill the baffle more evenly. Be careful to do this as gently as possible, as down is particularly fragile when wet.",approved,
candidate-034,Rab 羽绒服烘干时多久要拿出来拍一拍？,dev,down_drying,Rab 建议中低温立即滚筒烘干，并每 20–30 分钟取出轻轻摇晃、拍打隔仓，帮助羽绒沿隔仓重新分布。,rab-down-001/our-step-by-step-process-for-cleaning-your-down-jacket-or-vest/003,rab-down-001,How to Wash Your Down Jacket | Rab® US,Our step-by-step process for cleaning your down jacket or vest.,"Immediately tumble dry your down jacket on a mid to low heat setting. - Every 20-30 minutes during the drying process, remove the down jacket from the dryer, give it a gentle shake and firmly pat the baffles. Down can accumulate in one part of the jacket and needs to be moved along the entire length of the baffle. You can be more vigorous with this as the down starts to dry out. Adding a couple of clean tennis balls or tumble dryer balls may help speed up the drying time and increase the loft. E",approved,
candidate-035,Can I air-dry a down jacket instead of tumble drying?,test,down_drying,"Yes, but Rab recommends tumble drying to distribute down evenly. If air drying is the only option, shake it frequently to maximise loft.",rab-down-001/can-you-let-a-down-jacket-air-dry/008,rab-down-001,How to Wash Your Down Jacket | Rab® US,Can you let a down jacket air dry?,"#### Can you let a down jacket air dry? Although air drying a down jacket is perfectly fine, we'd always recommend using a tumble dryer to ensure the down is evenly distributed in the baffles. If air drying is the only option, frequent shaking is required to maximise lofting capabilities. Alternatively, send your jacket to us for a professional wash.",approved,
candidate-036,Rab 羽绒服长期怎么收纳？,test,storage,为延长寿命，Rab 建议在阴凉干燥处不压缩地存放羽绒服。,rab-down-001/tips/005,rab-down-001,How to Wash Your Down Jacket | Rab® US,Tips,"### Tips - If you have a top-loading washing machine, place your jacket in a mesh bag to protect it. If you have a top-loading washing machine, place your jacket in a mesh bag to protect it. - To help your down jacket last longer, store it uncompressed in a cool, dry place. To help your down jacket last longer, store it uncompressed in a cool, dry place.",approved,
candidate-037,我这件没有洗标的旧冲锋衣能不能直接按 30 度机洗？,dev,missing_information,需要先确认衣物的洗标或具体材质与护理要求；当前知识库不能为未识别的衣物给出确定洗涤方案。,,,,,,approved,
candidate-038,所有户外服装都能用同一种洗衣液吗？有没有通用选择？,test,washing,不能一概而论。不同衣物类型的官方护理建议对洗涤剂的要求并不完全相同，应按具体衣物的官方护理说明选择合适的洗涤剂。,arcteryx-synthetic-001/recare-wash-dry/000 | rab-waterproof-001/step-by-step-guide-to-washing-your-waterproof-jacket-and-pants/002,arcteryx-synthetic-001 | rab-waterproof-001,How To Wash Arc’teryx Product Care | Arc'teryx | How to Wash Your Waterproof Jacket and Pants | Rab® US,ReCare - WASH + DRY | Step by step guide to washing your waterproof jacket and pants.,"# ReCare - WASH + DRY Dirt, sweat and grime will age your gear prematurely. Each material requires its own unique care and handling, to enjoy a long and productive life. (Don’t we all?) Optimum state: clean and grease-free. Over-compression, dirt, sweat and grime can affect the insulation performance of your garment. Regular wash and care of your garment, as well as giving it space to hang, will help maintain performance and extend its lifespan. - Close the main and pit zippers. - Open pocket zi | ## How to wash a waterproof jacket. ### Step by step guide to washing your waterproof jacket and pants. - Rinse your washing machine out before use. This clears any leftover detergent and softeners that might damage the fabrics and coatings. Clean the detergent drawer and then run one or two rinse cycles. Rinse your washing machine out before use. This clears any leftover detergent and softeners that might damage the fabrics and coatings. Clean the detergent drawer and then run one or two rinse ",approved,
candidate-039,Can I temporarily repair minor punctures or tears in GORE-TEX outerwear in the field with a GORE-TEX Fabric Repair Kit?,test,repair_maintenance,Yes. GORE-TEX says that minor punctures and tears can be temporarily repaired in the field with a GORE-TEX Fabric Repair Kit. Its special adhesive patches provide an instant but non-permanent repair until you can reach an authorized repair center.,goretex-faq-001/what-can-i-do-if-i-need-an-instant-repair/025,goretex-faq-001,FAQs | The GORE-TEX Brand,WHAT CAN I DO IF I NEED AN INSTANT REPAIR?,"## WHAT CAN I DO IF I NEED AN INSTANT REPAIR? You can temporarily fix minor punctures and tears with a GORE‑TEX Fabric Repair Kit. These special adhesive patches allow you to make instant, however not permanent repairs in the field to preserve the waterproof integrity of your outerwear until you can get to an authorized repair center.",approved,
candidate-040,我的羽绒服不知道是什么填充物，也没有洗标，能不能低温烘干？,dev,missing_information,需要先确认填充物和洗标；当前知识库无法在这些关键条件缺失时给出确定的烘干建议。,,,,,,approved,
candidate-041,冲锋衣沾了树胶或黏性污渍，Arc'teryx 建议怎么处理？,test,stain_removal,先弄湿污渍，用稀释的技术洗涤剂局部清洁；对于树胶等黏性物质，可先用冰使其冻结，再用钝黄油刀刮除，随后用 1 份水和 1 份白醋的溶液浸泡。,arcteryx-stain-001/recare-stain-removal/000,arcteryx-stain-001,How To Wash Arc’teryx Product Care | Arc'teryx,ReCare - STAIN REMOVAL,"# ReCare - STAIN REMOVAL Stains and stubborn or sticky spots to your garment can arise in the course of life's spills and thrills. These care instructions will help you target stains with spot cleaning tips and get at gum and sap spots with a surprising trick with ice-cubes and butter knives. - Dampen stain. - Spot clean stain using diluted technical detergent. - We recommend 1 part Nu Technical Detergent diluted with 3 parts water. - (Alternatively, a dilution of dishwashing detergent can also ",approved,
candidate-042,My jacket wets out quickly in rain. Does that mean the waterproof membrane is leaking?,dev,dwr,"Not necessarily. Rab explains that worn DWR can make the face fabric wet out: water soaks into the surface instead of beading and rolling off. This evidence describes DWR wetting-out, but does not by itself establish membrane leakage.",rab-waterproof-001/how-to-wash-your-waterproof-jacket-and-pants/000,rab-waterproof-001,How to Wash Your Waterproof Jacket and Pants | Rab® US,How to wash your waterproof jacket and pants.,"# How to Wash Your Waterproof Jacket and Pants ## How to wash your waterproof jacket and pants. Regularly washing and caring for your waterproof gear is essential for maintaining its performance. After a few trips into the mountains, you may notice that your waterproof gear is not as effective as when you first bought it. Over time, the DWR (durable water repellent) coating will wear off, causing the face fabric to ‘wet out’ or appear wet. This means that instead of beading and rolling off, wate",approved,
